id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,schedule_time,schedule_days,rating,weight,summary,webChannel_name,webChannel_site,dvd_country,externals_tvrage,externals_thetvdb,externals_imdb,updated
54894,https://www.tvmaze.com/shows/54894/wanmei-shijie,Wanmei Shijie,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,20.0,20.0,2021-04-23,,https://v.qq.com/x/cover/mcv8hkc8zk8lnov.html,10:00,['Friday'],7.4,89,"<p>Born into a unique world where villages fight to gain power and control, the main character, Shi Hao, is a genius blessed by the heavens born under the poorest conditions. His clan, however, has a mysterious past. To rise and become the genius he is meant to be, the clan goes through every effort to aid his cultivation as they battle through fanatical monsters and engage in power struggles with other clans. His journey will bring him through unknown lands until he can become a person that can truly shake the world.</p>",Tencent QQ,https://v.qq.com/,,,,,1732920264
65516,https://www.tvmaze.com/shows/65516/apotheosis,Apotheosis,Animation,Chinese,"['Action', 'Adventure', 'Fantasy']",To Be Determined,,19.0,2022-11-04,,https://list.youku.com/show/id_bdfd61c13f714ae5affc,10:00,['Friday'],,43,"<p>Luo Zheng is at the bottom of the Luo Clan hierarchy, despite his family being the founders of a power refining technique that could instantly defeat any opponent. One night, enraged by unfair treatment from a family steward, Luo Zheng burns the family records. In doing so, the hidden magic in the book engulfs him and Luo Zheng becomes a new skilled fighter. Fleeing his home and despicable clan, Luo Zheng must learn to harness his powers to rescue his younger sister while his own cousins are on his pursuit.</p>",Youku,,,,426652.0,tt27818507,1735678672
71654,https://www.tvmaze.com/shows/71654/emo-faze,Emo Faze,Animation,Chinese,"['Action', 'Adventure', 'Fantasy']",Running,,20.0,2023-09-29,,https://v.qq.com/x/cover/mzc00200ddf1a1w/d0047nx15ze.html,10:00,['Friday'],,27,"<p>Duwei is born into this new world from Earth without a sound, he does not cry, he simply stares at the people around him. As he grows he does not speak and curses this new world he was forced into. His Father a Great General is sure there must be something he has an aptitude for, however he is simply trash. Disregarded by his family as the Retarded heir. This is the story of his journey to discover the truths of this world and use the knowledge of his past life to remove his title of retard, even if he has to become a devil.</p>",Tencent QQ,https://v.qq.com/,,,440271.0,,1706439040
59642,https://www.tvmaze.com/shows/59642/exchange,EXchange,Reality,Korean,,Running,,86.0,2021-06-25,,https://www.tving.com/vod/player/P001496087,12:00,['Friday'],,29,"<p>Eight men and women with their own respective stories gathers in a house to reunite with their past lovers and start meeting with new people. Without revealing who their ex is, they will spend days in the house together doing diverse missions. The hosts will watch them from the studio reacting to how the housemates act in various situations. Will they be able to find new love there? Or can ex-couples reunite?</p>",TVING,https://www.tving.com/onboarding,,,406052.0,,1713666371
66987,https://www.tvmaze.com/shows/66987/my-man-is-cupid,My Man Is Cupid,Scripted,Korean,"['Fantasy', 'Romance']",Ended,65.0,63.0,2023-12-01,2024-01-20,https://www.amazon.com/My-Man-is-Cupid/dp/B0CNCR6Z3Q,,"['Friday', 'Saturday']",,40,"<p>Fairy Cheon Sang Hyuk is the long-standing owner of Sarangbang, a high-end Korean chain restaurant in Jongno, Seoul. He went missing after working as a detective at Jongno Police Station. He is a man who has built an impregnable wall between him and women and a fairy who has burned his wings for 500 years.</p>",,,,,414444.0,,1705771290
70384,https://www.tvmaze.com/shows/70384/deaths-game,Death's Game,Scripted,Korean,"['Drama', 'Fantasy', 'Horror']",Ended,,52.0,2023-12-15,2024-01-05,https://www.tving.com/contents/P001748996,,['Friday'],7.2,89,<p><b>Death's Game</b> will tell the story of a man who gets more than one second chance at life after facing death. </p>,TVING,https://www.tving.com/onboarding,,,429560.0,tt26225038,1710586204
72596,https://www.tvmaze.com/shows/72596/adskij-dom-klikklak,АДСКИЙ ДОМ КликКлак,Game Show,Russian,,To Be Determined,,25.0,2023-11-10,,https://vk.com/video/playlist/-220754053_8,12:00,['Friday'],,7,,VK Видео Originals,https://vk.com/video/@vkvideo,,,,,1712289304
73953,https://www.tvmaze.com/shows/73953/mingyun-quan-tai,Mingyun Quan Tai,Animation,,"['Comedy', 'Action', 'Fantasy']",Running,,,2023-12-22,,,,['Friday'],,7,,Bilibili,,,,443791.0,,1705136059
74285,https://www.tvmaze.com/shows/74285/kays-daily-doodles,Kay's Daily Doodles,Animation,Chinese,,Running,4.0,4.0,2023-12-01,,,,['Friday'],,7,"<p>To all Rhodes Island Operators: ""Metalcrab Cafe"" is opening soon! Hello, Doctor! How do you like a cup of coffee?</p>",Bilibili,,,,442374.0,,1706376050
3156,https://www.tvmaze.com/shows/3156/father-brown,Father Brown,Scripted,English,"['Drama', 'Crime']",Running,,46.0,2013-01-14,,http://www.bbc.co.uk/programmes/b03pmw4m,,,7.6,99,"<p>Drama based on the stories by G.K. Chesterton, about a crime-solving Roman Catholic priest.</p>",BBC iPlayer,https://www.bbc.co.uk/iplayer,,33858.0,265834.0,tt2215842,1738724483
